placepointid,goodsid,sep_1,sep_2,sep_3,month_avg_3,id,pred_id,moving_avg,pct,pred,minqty,storage,onroad,minreqgoodsqty,goodsname,stock,qh,credate
16863.0,354225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,阿胶补血口服液,2.0,0.0,20231113
16863.0,475309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,高渗海水鼻腔护理液,2.0,0.0,20231113
16863.0,89428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,丙酸倍氯米松鼻气雾剂,2.0,0.0,20231113
16863.0,252274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,达立通颗粒,3.0,0.0,20231113
16863.0,413226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,高渗缓冲海水鼻腔护理喷雾器,0.0,0.0,20231113
16863.0,453566.0,0.0,0.0,1.0,0.3333333333333333,2025.0,2.0,0.2,1.0,2.0,0.0,3.0,0.0,0.0,21金维他<2阶>牌多种维生素矿物质片,3.0,0.0,20231113
16863.0,453568.0,0.0,1.0,0.0,0.3333333333333333,2026.0,2.0,0.2,1.0,2.0,0.0,5.0,0.0,0.0,21金维他<3阶>牌多种维生素矿物质片,5.0,0.0,20231113
16863.0,453485.0,0.0,0.0,3.0,1.0,2031.0,3.0,0.6000000000000001,1.0,3.0,0.0,9.0,0.0,0.0,21金维她<1阶>牌多种维生素矿物质片,9.0,0.0,20231113
16863.0,453567.0,0.0,0.0,2.0,0.6666666666666666,2032.0,2.0,0.4,1.0,2.0,0.0,6.0,0.0,0.0,21金维她<2阶>牌多种维生素矿物质片,6.0,0.0,20231113
16863.0,292485.0,2.0,1.0,6.0,3.0,2453.0,5.0,2.5,1.0,5.0,0.0,1.0,0.0,0.0,BABY绿力康肤草本抑菌乳膏,1.0,4.0,20231113
